Pixel,Intensity
0.0,4129.147135416667
1.0,4125.342122395834
2.0,4113.870442708333
3.0,4108.873372395833
4.0,4099.306640625
5.0,4097.077799479167
6.0,4095.1220703125
7.0,4081.3681640625
8.0,4078.5947265625
9.0,4078.837890625
10.0,4083.103515625
11.0,4081.5305989583335
12.0,4075.966796875
13.0,4081.092447916667
14.0,4086.34765625
15.0,4088.751627604167
16.0,4102.866861979167
17.0,4105.058919270834
18.0,4113.162760416667
19.0,4118.573893229167
20.0,4126.199869791666
21.0,4124.290690104167
22.0,4122.21875
23.0,4114.833658854167
24.0,4111.482096354167
25.0,4110.154947916666
26.0,4102.027669270833
27.0,4094.0442708333335
28.0,4085.1901041666665
29.0,4091.706705729167
30.0,4073.885416666667
31.0,4064.15234375
32.0,4063.774739583333
33.0,4056.466145833333
34.0,4051.443033854167
35.0,4053.193684895833
36.0,4044.745442708333
37.0,4042.6458333333335
38.0,4044.7919921875
39.0,4045.744791666667
40.0,4038.667317708333
41.0,4038.642903645833
42.0,4044.6513671875
43.0,4036.822591145833
44.0,4036.2724609375
45.0,4041.1494140625
46.0,4034.703125
47.0,4031.501302083333
48.0,4035.805989583333
49.0,4035.871744791667
50.0,4039.0322265625
51.0,4035.2259114583335
52.0,4030.067708333333
53.0,4030.065755208333
54.0,4040.6494140625
55.0,4030.5651041666665
56.0,4031.325520833333
57.0,4036.1370442708335
58.0,4027.744140625
59.0,4036.266927083333
60.0,4027.333984375
61.0,4028.1204427083335
62.0,4031.130533854167
63.0,4024.5712890625
64.0,4025.619140625
65.0,4025.379231770833
66.0,4029.3076171875
67.0,4057.79296875
68.0,4026.646484375
69.0,4028.2978515625
70.0,4026.2395833333335
71.0,4029.873046875
72.0,4034.5979817708335
73.0,4035.3662109375
74.0,4033.7919921875
75.0,4034.980143229167
76.0,4033.689453125
77.0,4029.666015625
78.0,4030.263020833333
79.0,4026.8037109375
80.0,4029.497395833333
81.0,4030.6608072916665
82.0,4028.748697916667
83.0,4029.1689453125
84.0,4026.8115234375
85.0,4024.478190104167
86.0,4034.058919270833
87.0,4027.467447916667
88.0,4029.420572916667
89.0,4024.209635416667
90.0,4022.0143229166665
91.0,4026.998697916667
92.0,4026.9410807291665
