Pixel,Intensity
-601.2798364891678,1272.5
-597.3991174005423,1272.5
-593.5195684611572,1273.5
-589.6411903055523,1246.0
-585.7639835664231,1295.5
-581.8879488745515,1333.0
-578.0130868588785,1264.0
-574.1393981464535,1283.0
-570.266883362463,1285.5
-566.3955431302275,1306.5
-562.5253780712083,1303.0
-558.6563888050077,1290.5
-554.7885759493583,1298.0
-550.9219401201553,1313.5
-547.056481931435,1304.0
-543.1922019953854,1314.0
-539.3291009223394,1313.5
-535.4671793208036,1306.5
-531.6064377974253,1309.0
-527.7468769570332,1306.5
-523.8884974026041,1301.0
-520.0312997352921,1354.0
-516.1752845544215,1320.5
-512.3204524574867,1340.5
-508.4668040401484,1322.5
-504.6143398962631,1331.0
-500.76306061786454,1291.5
-496.9129667951529,1302.5
-493.0640590165458,1316.0
-489.21633786862003,1330.5
-485.36980393615886,1316.0
-481.52445780214475,1350.5
-477.6803000477412,1345.5
-473.83733125233266,1344.5
-469.99555199348833,1306.0
-466.15496284699475,1341.5
-462.3155643868413,1335.0
-458.47735718522745,1360.5
-454.64034181257375,1338.0
-450.80451883750357,1342.5
-446.9698888268722,1397.0
-443.13645234575597,1329.5
-439.30420995744134,1357.0
-435.473162223454,1362.5
-431.6433097035515,1362.5
-427.81465295571616,1377.5
-423.98719253616946,1323.5
-420.1609289993721,1370.5
-416.3358628980204,1344.5
-412.51199478305716,1366.5
-408.68932520366434,1362.5
-404.86785470728864,1368.0
-401.04758383960143,1400.5
-397.2285131445533,1355.0
-393.4106431643486,1311.5
-389.59397443942726,1367.0
-385.7785075085194,1355.0
-381.96424290859795,1379.0
-378.1511811749224,1360.5
-374.339322840995,1378.5
-370.52866843862284,1389.0
-366.71921849786304,1412.5
-362.91097354705926,1376.0
-359.10393411283803,1346.5
-355.29810072009786,1376.0
-351.4934738920347,1361.5
-347.6900541501309,1392.0
-343.8878420141591,1367.0
-340.08683800216386,1397.0
-336.2870426305235,1363.5
-332.48845641388107,1363.5
-328.69107986520976,1384.5
-324.89491349576565,2047.0
-321.0999578151095,1375.0
-317.3062133311214,1460.5
-313.5136805500006,1351.5
-309.7223599762474,1423.5
-305.9322521126669,1406.0
-302.1433574604089,1374.0
-298.3556765189387,1366.5
-294.5692097860301,1392.0
-290.7839577578052,1491.0
-286.999920928698,1378.5
-283.21709979148727,1394.5
-279.435494837282,1380.5
-275.65510655552134,1389.0
-271.8759354340036,1412.0
-268.09798195885014,1410.0
-264.3212466145342,1365.5
-260.54572988387736,1405.5
-256.7714322480533,1396.5
-252.99835418658404,1369.0
-249.22649617735442,1415.5
-245.45585869659772,1382.5
-241.6864422189101,1382.5
-237.91824721725425,1408.0
-234.15127416295945,1424.5
-230.38552352571787,1399.0
-226.6209957735955,1436.0
-222.85769137303214,1390.0
-219.09561078884144,1393.0
-215.3347544842145,1408.0
-211.57512292072352,1399.0
-207.8167165583218,1397.0
-204.05953585536554,1381.5
-200.3035812685739,1373.0
-196.54885325306896,1387.0
-192.7953522623684,1607.5
-189.0430787483856,1420.5
-185.29203316142593,1429.0
-181.54221595020135,1414.0
-177.7936275618231,1439.5
-174.0462684418162,1451.5
-170.3001390341051,1411.0
-166.5552397810352,1445.5
-162.8115711233513,1394.0
-159.06913350022296,1440.5
-155.32792734924806,1404.5
