Pixel,Intensity
-601.2798364891678,1036.0
-597.3991174005423,1036.0
-593.5195684611572,1040.0
-589.6411903055523,1032.0
-585.7639835664231,1063.0
-581.8879488745515,1091.0
-578.0130868588785,1036.0
-574.1393981464535,1047.0
-570.266883362463,1049.0
-566.3955431302275,1070.0
-562.5253780712083,1063.0
-558.6563888050077,1049.0
-554.7885759493583,1059.0
-550.9219401201553,1068.0
-547.056481931435,1070.0
-543.1922019953854,1072.0
-539.3291009223394,1070.0
-535.4671793208036,1051.0
-531.6064377974253,1051.0
-527.7468769570332,1053.0
-523.8884974026041,1057.0
-520.0312997352921,1106.0
-516.1752845544215,1072.0
-512.3204524574867,1087.0
-508.4668040401484,1072.0
-504.6143398962631,1080.0
-500.76306061786454,1042.0
-496.9129667951529,1038.0
-493.0640590165458,1070.0
-489.21633786862003,1080.0
-485.36980393615886,1065.0
-481.52445780214475,1102.0
-477.6803000477412,1089.0
-473.83733125233266,1072.0
-469.99555199348833,1036.0
-466.15496284699475,1068.0
-462.3155643868413,1074.0
-458.47735718522745,1093.0
-454.64034181257375,1059.0
-450.80451883750357,1080.0
-446.9698888268722,1129.0
-443.13645234575597,1057.0
-439.30420995744134,1091.0
-435.473162223454,1087.0
-431.6433097035515,1074.0
-427.81465295571616,1099.0
-423.98719253616946,1059.0
-420.1609289993721,1084.0
-416.3358628980204,1076.0
-412.51199478305716,1101.0
-408.68932520366434,1095.0
-404.86785470728864,1091.0
-401.04758383960143,1159.0
-397.2285131445533,1076.0
-393.4106431643486,1040.0
-389.59397443942726,1082.0
-385.7785075085194,1070.0
-381.96424290859795,1087.0
-378.1511811749224,1072.0
-374.339322840995,1099.0
-370.52866843862284,1085.0
-366.71921849786304,1131.0
-362.91097354705926,1087.0
-359.10393411283803,1047.0
-355.29810072009786,1091.0
-351.4934738920347,1080.0
-347.6900541501309,1095.0
-343.8878420141591,1072.0
-340.08683800216386,1110.0
-336.2870426305235,1074.0
-332.48845641388107,1072.0
-328.69107986520976,1080.0
-324.89491349576565,1828.0
-321.0999578151095,1082.0
