ENLIGHTEN Version,4.1.6
Measurement ID,20241210-112042-574384-WP-02071
Serial Number,WP-02071
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,enlighten-CC-124_TAP_20241210-112042-574384-WP-02071
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,
ROI Pixel Start,10
ROI Pixel End,2047
ROI Vertical Pixel Start,0
ROI Vertical Pixel End,63
CCD C4,1.0143461591505254e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,50.0
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Prefix,enlighten
Suffix,
Preset,
Session Count,3400
Plugin Name,
Integration Time,3000
Timestamp,2024-12-10 11:20:42.574384
Note,
Temperature,10.010850297268917
CCD C0,799.8416748046875
CCD C1,0.15680807828903198
CCD C2,1.0990047485393006e-05
CCD C3,-9.785007470952678e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.041
Laser Enable,True
Laser Power %,26.73960959264832
Laser Temperature,-95.6635622537485
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
46,807.08,347.80,7384.00
47,807.23,350.22,7348.00
48,807.39,352.64,7351.50
49,807.55,355.06,7329.50
50,807.71,357.48,7299.00
51,807.87,359.90,7302.00
52,808.02,362.32,7287.00
53,808.18,364.74,7300.50
54,808.34,367.15,7280.00
55,808.50,369.57,7248.50
56,808.66,371.99,7338.50
57,808.81,374.40,7238.00
58,808.97,376.82,7272.00
59,809.13,379.23,7297.00
60,809.29,381.64,7303.50
61,809.45,384.05,7272.00
62,809.60,386.47,7263.00
63,809.76,388.88,7336.50
64,809.92,391.29,7363.00
65,810.08,393.70,7284.50
66,810.24,396.11,7318.00
67,810.39,398.51,7226.00
68,810.55,400.92,7264.00
69,810.71,403.33,7332.50
70,810.87,405.74,7236.50
71,811.03,408.14,7265.00
72,811.19,410.55,7298.50
73,811.34,412.95,7259.50
74,811.50,415.36,7248.50
75,811.66,417.76,7265.00
76,811.82,420.16,7242.00
77,811.98,422.56,7246.00
78,812.13,424.96,7231.50
79,812.29,427.36,7216.50
80,812.45,429.76,7254.00
81,812.61,432.16,7176.00
82,812.77,434.56,7250.50
83,812.93,436.96,7205.00
84,813.09,439.36,7245.00
85,813.24,441.75,7218.50
86,813.40,444.15,7205.50
87,813.56,446.54,7236.00
88,813.72,448.94,7230.00
89,813.88,451.33,7152.00
90,814.04,453.72,7227.50
91,814.19,456.12,7249.00
92,814.35,458.51,7223.50
93,814.51,460.90,7266.50
94,814.67,463.29,7241.00
95,814.83,465.68,7194.00
96,814.99,468.07,7154.50
97,815.15,470.46,7223.50
98,815.31,472.84,7231.00
99,815.46,475.23,7182.00
100,815.62,477.62,7193.00
101,815.78,480.00,7211.00
102,815.94,482.39,7219.50
103,816.10,484.77,7192.50
104,816.26,487.16,7207.00
105,816.42,489.54,7185.00
106,816.58,491.92,7150.50
107,816.73,494.30,7162.00
108,816.89,496.68,7148.50
109,817.05,499.06,7160.00
110,817.21,501.44,7183.00
111,817.37,503.82,7225.50
112,817.53,506.20,7124.00
113,817.69,508.58,7212.00
114,817.85,510.95,7240.50
115,818.01,513.33,7263.00
116,818.16,515.70,7317.50
117,818.32,518.08,7274.50
118,818.48,520.45,7290.50
119,818.64,522.82,7222.00
120,818.80,525.20,7217.00
121,818.96,527.57,7130.50
122,819.12,529.94,7139.00
123,819.28,532.31,7075.50
124,819.44,534.68,7128.50
125,819.60,537.05,7057.00
126,819.75,539.42,7076.00
127,819.91,541.78,7084.50
128,820.07,544.15,7064.50
129,820.23,546.52,7094.50
130,820.39,548.88,7104.00
131,820.55,551.25,7078.00
132,820.71,553.61,7041.00
133,820.87,555.97,7023.00
134,821.03,558.34,7003.00
135,821.19,560.70,7095.50
136,821.35,563.06,7034.50
137,821.51,565.42,7100.00
138,821.67,567.78,7075.00
139,821.82,570.14,7147.50
140,821.98,572.50,7102.00
141,822.14,574.86,7121.00
142,822.30,577.21,7113.00
143,822.46,579.57,6998.50
144,822.62,581.92,7032.50
145,822.78,584.28,7053.50
146,822.94,586.63,7091.50
147,823.10,588.99,7036.00
148,823.26,591.34,6951.00
149,823.42,593.69,7033.00
150,823.58,596.04,6989.50
151,823.74,598.39,6951.50
152,823.90,600.74,6964.50
153,824.06,603.09,6949.00
154,824.22,605.44,6988.50
155,824.38,607.79,6904.50
156,824.53,610.13,6879.00
157,824.69,612.48,6890.00
158,824.85,614.83,6878.00
159,825.01,617.17,6902.50
160,825.17,619.52,6870.50
161,825.33,621.86,6894.50
162,825.49,624.20,6817.00
163,825.65,626.54,6887.50
164,825.81,628.89,6808.50
165,825.97,631.23,6842.50
166,826.13,633.57,6765.00
167,826.29,635.90,6812.00
168,826.45,638.24,6811.50
169,826.61,640.58,6780.00
170,826.77,642.92,6817.00
171,826.93,645.25,6789.50
172,827.09,647.59,6785.00
173,827.25,649.92,6731.00
174,827.41,652.26,6772.00
175,827.57,654.59,6740.00
176,827.73,656.92,6739.50
177,827.89,659.26,6739.50
178,828.05,661.59,6764.00
179,828.21,663.92,6759.50
180,828.37,666.25,6711.00
181,828.53,668.58,6715.00
182,828.69,670.90,6742.00
183,828.85,673.23,6745.00
184,829.01,675.56,6727.50
185,829.17,677.88,6734.00
186,829.33,680.21,6730.00
187,829.49,682.53,6704.50
188,829.65,684.86,6740.00
189,829.81,687.18,6678.50
190,829.97,689.50,6748.50
191,830.13,691.83,6717.00
192,830.29,694.15,6618.50
193,830.45,696.47,6708.00
194,830.61,698.79,6700.50
195,830.77,701.11,6699.00
196,830.93,703.42,6631.50
197,831.09,705.74,6643.50
198,831.25,708.06,6641.00
199,831.41,710.37,6712.50
200,831.57,712.69,6700.00
201,831.73,715.00,6735.50
202,831.89,717.32,6739.50
203,832.05,719.63,6671.00
204,832.21,721.94,6723.50
205,832.37,724.25,6699.50
206,832.53,726.56,6772.50
207,832.69,728.87,6705.50
208,832.85,731.18,6707.50
209,833.01,733.49,6796.50
210,833.17,735.80,6889.00
211,833.33,738.11,7006.00
212,833.49,740.41,7099.50
213,833.65,742.72,7319.50
214,833.81,745.02,7528.50
215,833.97,747.33,7459.50
216,834.13,749.63,7334.50
217,834.29,751.93,7261.00
218,834.45,754.23,7240.00
219,834.61,756.53,7082.00
220,834.77,758.83,7015.50
221,834.93,761.13,6826.00
222,835.09,763.43,6664.50
223,835.25,765.73,6515.00
224,835.41,768.03,6468.00
225,835.57,770.32,6414.00
226,835.73,772.62,6447.00
227,835.89,774.92,6376.00
228,836.05,777.21,6372.00
229,836.21,779.50,6368.50
230,836.37,781.80,6349.00
231,836.53,784.09,6383.50
232,836.69,786.38,6401.00
233,836.85,788.67,6349.50
234,837.01,790.96,6341.00
235,837.17,793.25,6377.00
236,837.34,795.54,6389.00
237,837.50,797.82,6375.50
238,837.66,800.11,6433.00
239,837.82,802.40,6327.50
240,837.98,804.68,6299.50
241,838.14,806.97,6253.50
242,838.30,809.25,6225.50
243,838.46,811.53,6228.50
244,838.62,813.82,6228.50
245,838.78,816.10,6193.00
246,838.94,818.38,6159.00
247,839.10,820.66,6159.50
248,839.26,822.94,6168.50
249,839.42,825.22,6198.00
250,839.58,827.49,6155.00
251,839.74,829.77,6171.50
252,839.90,832.05,6178.50
253,840.06,834.32,6201.50
254,840.22,836.60,6162.50
255,840.38,838.87,6122.00
256,840.54,841.14,6159.00
257,840.71,843.42,6142.00
258,840.87,845.69,6123.50
259,841.03,847.96,6138.00
260,841.19,850.23,6130.50
261,841.35,852.50,6097.00
262,841.51,854.77,6080.00
263,841.67,857.04,6054.00
264,841.83,859.30,6026.00
265,841.99,861.57,6018.00
266,842.15,863.84,6046.50
267,842.31,866.10,6083.00
268,842.47,868.36,6003.50
269,842.63,870.63,6029.00
270,842.79,872.89,6028.50
271,842.95,875.15,5984.50
272,843.12,877.41,5973.00
273,843.28,879.67,6000.00
274,843.44,881.93,5964.50
275,843.60,884.19,6027.00
276,843.76,886.45,6007.00
277,843.92,888.71,6015.50
278,844.08,890.96,6015.00
279,844.24,893.22,5997.00
280,844.40,895.47,5978.50
281,844.56,897.73,6002.00
282,844.72,899.98,5979.00
283,844.88,902.23,5979.50
284,845.04,904.49,6059.00
285,845.20,906.74,6044.00
286,845.37,908.99,6130.00
287,845.53,911.24,6180.00
288,845.69,913.49,6253.00
289,845.85,915.73,6295.50
290,846.01,917.98,6348.00
291,846.17,920.23,6293.00
292,846.33,922.47,6235.50
293,846.49,924.72,6059.00
294,846.65,926.96,5925.50
295,846.81,929.20,5792.00
296,846.97,931.45,5770.50
297,847.13,933.69,5707.50
298,847.30,935.93,5656.50
299,847.46,938.17,5692.50
300,847.62,940.41,5665.50
301,847.78,942.65,5694.00
302,847.94,944.89,5637.00
303,848.10,947.12,5710.00
304,848.26,949.36,5659.50
305,848.42,951.60,5716.00
306,848.58,953.83,5778.00
307,848.74,956.06,5715.50
308,848.90,958.30,5769.50
309,849.07,960.53,5768.00
310,849.23,962.76,5765.50
311,849.39,964.99,5816.00
312,849.55,967.22,5749.50
313,849.71,969.45,5788.50
314,849.87,971.68,5776.00
315,850.03,973.91,5775.00
316,850.19,976.14,5809.00
317,850.35,978.36,5843.00
318,850.51,980.59,5951.00
319,850.67,982.81,6117.50
320,850.84,985.04,6276.50
321,851.00,987.26,6314.00
322,851.16,989.48,6293.50
323,851.32,991.70,6320.50
324,851.48,993.92,6252.50
325,851.64,996.15,6359.50
326,851.80,998.36,6447.50
327,851.96,1000.58,6601.50
328,852.12,1002.80,6691.50
329,852.28,1005.02,6639.50
330,852.45,1007.23,6504.00
331,852.61,1009.45,6239.50
332,852.77,1011.66,6053.50
333,852.93,1013.88,5876.50
334,853.09,1016.09,5704.00
335,853.25,1018.30,5580.50
336,853.41,1020.51,5596.50
337,853.57,1022.72,5602.00
338,853.73,1024.93,5545.50
339,853.89,1027.14,5581.50
340,854.06,1029.35,5491.50
341,854.22,1031.56,5577.50
342,854.38,1033.77,5501.50
343,854.54,1035.97,5472.50
344,854.70,1038.18,5494.00
345,854.86,1040.38,5573.00
346,855.02,1042.59,5537.00
347,855.18,1044.79,5612.50
348,855.34,1046.99,5651.50
349,855.51,1049.19,5636.50
350,855.67,1051.39,5630.00
351,855.83,1053.59,5524.50
352,855.99,1055.79,5445.00
353,856.15,1057.99,5428.50
354,856.31,1060.19,5305.00
355,856.47,1062.38,5261.50
356,856.63,1064.58,5330.50
357,856.79,1066.77,5313.00
358,856.96,1068.97,5397.00
359,857.12,1071.16,5382.50
360,857.28,1073.35,5390.00
361,857.44,1075.54,5274.00
362,857.60,1077.74,5147.50
363,857.76,1079.93,5158.50
364,857.92,1082.11,5107.50
365,858.08,1084.30,5119.00
366,858.24,1086.49,5076.00
367,858.41,1088.68,5089.00
368,858.57,1090.86,5063.50
369,858.73,1093.05,5034.50
370,858.89,1095.23,5052.00
371,859.05,1097.42,5132.50
372,859.21,1099.60,5157.50
373,859.37,1101.78,5180.50
374,859.53,1103.96,5187.50
375,859.69,1106.15,5231.50
376,859.86,1108.33,5321.50
377,860.02,1110.50,5365.50
378,860.18,1112.68,5423.00
379,860.34,1114.86,5447.00
380,860.50,1117.04,5377.50
381,860.66,1119.21,5355.00
382,860.82,1121.39,5269.50
383,860.98,1123.56,5234.50
384,861.14,1125.74,5331.00
385,861.31,1127.91,5259.00
386,861.47,1130.08,5296.00
387,861.63,1132.25,5373.50
388,861.79,1134.42,5452.00
389,861.95,1136.59,5674.00
390,862.11,1138.76,5894.50
391,862.27,1140.93,6139.00
392,862.43,1143.09,6418.50
393,862.59,1145.26,6548.50
394,862.76,1147.43,6713.50
395,862.92,1149.59,6878.50
396,863.08,1151.76,7174.50
397,863.24,1153.92,7543.00
398,863.40,1156.08,7751.50
399,863.56,1158.24,7836.50
400,863.72,1160.40,7518.00
401,863.88,1162.56,7035.50
402,864.05,1164.72,6548.00
403,864.21,1166.88,6083.50
404,864.37,1169.04,5867.00
405,864.53,1171.19,5767.00
406,864.69,1173.35,5773.00
407,864.85,1175.51,5893.00
408,865.01,1177.66,6050.50
409,865.17,1179.81,6181.50
410,865.33,1181.97,6411.50
411,865.50,1184.12,6552.50
412,865.66,1186.27,6597.50
413,865.82,1188.42,6532.50
414,865.98,1190.57,6360.00
415,866.14,1192.72,6202.50
416,866.30,1194.87,5995.00
417,866.46,1197.01,5843.50
418,866.62,1199.16,5589.50
419,866.79,1201.30,5519.50
420,866.95,1203.45,5478.50
421,867.11,1205.59,5532.50
422,867.27,1207.74,5545.50
423,867.43,1209.88,5588.50
424,867.59,1212.02,5651.00
425,867.75,1214.16,5750.00
426,867.91,1216.30,5761.50
427,868.07,1218.44,5723.00
428,868.24,1220.58,5826.00
429,868.40,1222.71,5849.50
430,868.56,1224.85,5797.00
431,868.72,1226.99,5869.50
432,868.88,1229.12,5760.50
433,869.04,1231.26,5630.00
434,869.20,1233.39,5411.00
435,869.36,1235.52,5252.00
436,869.52,1237.65,5078.00
437,869.69,1239.78,4908.50
438,869.85,1241.91,4872.00
439,870.01,1244.04,4725.00
440,870.17,1246.17,4704.00
441,870.33,1248.30,4675.00
442,870.49,1250.43,4668.50
443,870.65,1252.55,4701.50
444,870.81,1254.68,4703.50
445,870.98,1256.80,4731.50
446,871.14,1258.93,4782.00
447,871.30,1261.05,4869.00
448,871.46,1263.17,4876.00
449,871.62,1265.29,4931.00
450,871.78,1267.41,4921.00
451,871.94,1269.53,4796.50
452,872.10,1271.65,4787.50
453,872.26,1273.77,4717.00
454,872.43,1275.89,4788.00
455,872.59,1278.00,4726.50
456,872.75,1280.12,4807.50
457,872.91,1282.23,4987.50
458,873.07,1284.35,5101.00
459,873.23,1286.46,5221.00
460,873.39,1288.57,5211.50
461,873.55,1290.69,5133.50
462,873.71,1292.80,4930.00
463,873.88,1294.91,4808.00
464,874.04,1297.02,4704.00
465,874.20,1299.12,4581.50
466,874.36,1301.23,4632.50
467,874.52,1303.34,4675.00
468,874.68,1305.44,4626.50
469,874.84,1307.55,4645.00
470,875.00,1309.65,4640.50
471,875.16,1311.76,4591.50
472,875.32,1313.86,4551.50
473,875.49,1315.96,4555.00
474,875.65,1318.06,4610.00
475,875.81,1320.16,4809.50
476,875.97,1322.26,5162.50
477,876.13,1324.36,5461.50
478,876.29,1326.46,5776.00
479,876.45,1328.55,5849.00
480,876.61,1330.65,5550.50
481,876.77,1332.75,5140.00
482,876.94,1334.84,4805.50
483,877.10,1336.93,4652.50
484,877.26,1339.03,4492.50
485,877.42,1341.12,4390.50
486,877.58,1343.21,4367.50
487,877.74,1345.30,4285.00
488,877.90,1347.39,4351.50
489,878.06,1349.48,4286.00
490,878.22,1351.57,4279.00
491,878.38,1353.65,4272.50
492,878.55,1355.74,4309.00
493,878.71,1357.83,4300.50
494,878.87,1359.91,4202.50
495,879.03,1361.99,4072.00
496,879.19,1364.08,4025.50
497,879.35,1366.16,4014.00
498,879.51,1368.24,3988.50
499,879.67,1370.32,4013.50
500,879.83,1372.40,4054.50
501,879.99,1374.48,4120.00
502,880.16,1376.56,4163.00
503,880.32,1378.64,4125.50
504,880.48,1380.71,4137.00
505,880.64,1382.79,4191.50
506,880.80,1384.86,4170.50
507,880.96,1386.94,4209.50
508,881.12,1389.01,4267.50
509,881.28,1391.08,4225.50
510,881.44,1393.15,4115.50
511,881.60,1395.23,4103.50
512,881.76,1397.30,4072.50
513,881.93,1399.36,3992.50
514,882.09,1401.43,3899.50
515,882.25,1403.50,3799.00
516,882.41,1405.57,3765.50
517,882.57,1407.63,3731.00
518,882.73,1409.70,3728.00
519,882.89,1411.76,3695.50
520,883.05,1413.83,3697.50
521,883.21,1415.89,3743.50
522,883.37,1417.95,3740.50
523,883.53,1420.01,3762.00
524,883.70,1422.07,3790.00
525,883.86,1424.13,3780.50
526,884.02,1426.19,3818.50
527,884.18,1428.25,3861.50
528,884.34,1430.30,3938.50
529,884.50,1432.36,3986.50
530,884.66,1434.41,4149.50
531,884.82,1436.47,4281.50
532,884.98,1438.52,4325.50
533,885.14,1440.58,4298.00
534,885.30,1442.63,4226.50
535,885.46,1444.68,4225.50
536,885.63,1446.73,4152.00
537,885.79,1448.78,4050.00
538,885.95,1450.83,3962.50
539,886.11,1452.87,3927.50
540,886.27,1454.92,3881.00
541,886.43,1456.97,3854.50
542,886.59,1459.01,3759.00
543,886.75,1461.06,3801.50
544,886.91,1463.10,3735.00
545,887.07,1465.14,3737.50
546,887.23,1467.19,3746.50
547,887.39,1469.23,3747.00
548,887.55,1471.27,3706.50
549,887.71,1473.31,3723.00
550,887.88,1475.35,3779.50
551,888.04,1477.39,3792.50
552,888.20,1479.42,3819.50
553,888.36,1481.46,3880.00
554,888.52,1483.49,3966.00
555,888.68,1485.53,4031.00
556,888.84,1487.56,4097.50
557,889.00,1489.60,4097.00
558,889.16,1491.63,4040.00
559,889.32,1493.66,4017.50
560,889.48,1495.69,3994.00
561,889.64,1497.72,3964.00
562,889.80,1499.75,3891.50
563,889.96,1501.78,3990.50
564,890.12,1503.80,4005.50
565,890.29,1505.83,4125.50
566,890.45,1507.86,4314.00
567,890.61,1509.88,4551.00
568,890.77,1511.91,4856.00
569,890.93,1513.93,5300.50
570,891.09,1515.95,5744.00
571,891.25,1517.97,6347.50
572,891.41,1519.99,7028.50
573,891.57,1522.01,7510.00
574,891.73,1524.03,7986.00
575,891.89,1526.05,8170.50
576,892.05,1528.07,8102.00
577,892.21,1530.08,7670.00
578,892.37,1532.10,7275.00
579,892.53,1534.12,6750.50
580,892.69,1536.13,6259.00
581,892.85,1538.14,5798.50
582,893.01,1540.15,5361.00
583,893.17,1542.17,5037.50
584,893.33,1544.18,4887.00
585,893.50,1546.19,4819.50
586,893.66,1548.20,4807.00
587,893.82,1550.20,4766.50
588,893.98,1552.21,4793.00
589,894.14,1554.22,4670.50
590,894.30,1556.23,4550.00
591,894.46,1558.23,4319.50
592,894.62,1560.23,4109.50
593,894.78,1562.24,4017.50
594,894.94,1564.24,3837.50
595,895.10,1566.24,3772.50
596,895.26,1568.24,3725.00
597,895.42,1570.24,3635.50
598,895.58,1572.24,3604.50
599,895.74,1574.24,3535.50
600,895.90,1576.24,3531.50
601,896.06,1578.24,3473.00
602,896.22,1580.23,3457.50
603,896.38,1582.23,3447.00
604,896.54,1584.22,3455.50
605,896.70,1586.21,3389.00
606,896.86,1588.21,3349.00
607,897.02,1590.20,3351.00
608,897.18,1592.19,3344.00
609,897.34,1594.18,3352.00
610,897.50,1596.17,3394.00
611,897.66,1598.16,3466.00
612,897.82,1600.15,3534.50
613,897.98,1602.13,3587.00
614,898.14,1604.12,3626.00
615,898.30,1606.10,3642.00
616,898.46,1608.09,3685.00
617,898.62,1610.07,3611.00
618,898.78,1612.05,3536.50
619,898.94,1614.04,3514.50
620,899.11,1616.02,3398.50
621,899.27,1618.00,3284.00
622,899.43,1619.98,3244.00
623,899.59,1621.96,3226.00
624,899.75,1623.93,3121.50
625,899.91,1625.91,3108.00
626,900.07,1627.89,3074.00
627,900.23,1629.86,3060.00
628,900.39,1631.84,3025.50
629,900.55,1633.81,3012.50
630,900.71,1635.78,3040.00
631,900.87,1637.76,2987.50
632,901.03,1639.73,2965.00
633,901.19,1641.70,2991.50
634,901.35,1643.67,2967.00
635,901.51,1645.64,3010.00
636,901.67,1647.60,3001.50
637,901.83,1649.57,2980.50
638,901.99,1651.54,2947.00
639,902.15,1653.50,3005.00
640,902.31,1655.47,2987.00
641,902.47,1657.43,2961.50
642,902.63,1659.39,2985.50
643,902.79,1661.36,2942.50
644,902.95,1663.32,2977.50
645,903.10,1665.28,2951.50
646,903.26,1667.24,2939.50
647,903.42,1669.20,2925.50
648,903.58,1671.15,2921.50
649,903.74,1673.11,2910.00
650,903.90,1675.07,2949.50
651,904.06,1677.02,2930.50
652,904.22,1678.98,2906.00
653,904.38,1680.93,2861.00
654,904.54,1682.88,2900.00
655,904.70,1684.84,2863.00
656,904.86,1686.79,2827.00
657,905.02,1688.74,2799.50
658,905.18,1690.69,2780.50
659,905.34,1692.64,2767.00
660,905.50,1694.59,2771.50
661,905.66,1696.53,2725.00
662,905.82,1698.48,2715.50
663,905.98,1700.42,2660.00
664,906.14,1702.37,2683.00
665,906.30,1704.31,2647.50
666,906.46,1706.26,2609.00
667,906.62,1708.20,2583.50
668,906.78,1710.14,2561.00
669,906.94,1712.08,2547.50
670,907.10,1714.02,2569.00
671,907.26,1715.96,2560.50
672,907.42,1717.90,2480.50
673,907.58,1719.83,2490.50
674,907.74,1721.77,2456.00
675,907.90,1723.71,2465.00
676,908.06,1725.64,2434.00
677,908.21,1727.58,2482.50
678,908.37,1729.51,2448.50
679,908.53,1731.44,2427.50
680,908.69,1733.37,2455.00
681,908.85,1735.30,2408.50
682,909.01,1737.23,2431.00
683,909.17,1739.16,2441.00
684,909.33,1741.09,2396.00
685,909.49,1743.02,2429.00
686,909.65,1744.94,2377.00
687,909.81,1746.87,2331.50
688,909.97,1748.80,2384.00
689,910.13,1750.72,2350.50
690,910.29,1752.64,2383.50
691,910.45,1754.57,2335.00
692,910.61,1756.49,2310.00
693,910.77,1758.41,2354.00
694,910.92,1760.33,2305.50
695,911.08,1762.25,2358.50
696,911.24,1764.16,2281.00
697,911.40,1766.08,2282.50
698,911.56,1768.00,2267.50
699,911.72,1769.91,2268.00
700,911.88,1771.83,2303.00
701,912.04,1773.74,2244.50
702,912.20,1775.66,2237.00
703,912.36,1777.57,2234.00
704,912.52,1779.48,2217.50
705,912.68,1781.39,2223.00
706,912.83,1783.30,2237.50
707,912.99,1785.21,2200.50
708,913.15,1787.12,2192.50
709,913.31,1789.03,2185.50
710,913.47,1790.93,2186.00
711,913.63,1792.84,2205.50
712,913.79,1794.75,2171.50
713,913.95,1796.65,2162.00
714,914.11,1798.55,2190.00
715,914.27,1800.46,2134.00
716,914.43,1802.36,2157.50
717,914.58,1804.26,2133.00
718,914.74,1806.16,2119.00
719,914.90,1808.06,2121.00
720,915.06,1809.96,2101.00
721,915.22,1811.85,2117.00
722,915.38,1813.75,2085.00
723,915.54,1815.65,2078.50
724,915.70,1817.54,2129.50
725,915.86,1819.44,2079.50
726,916.01,1821.33,2099.00
727,916.17,1823.22,2092.00
728,916.33,1825.11,2062.50
729,916.49,1827.01,2081.50
730,916.65,1828.90,2111.50
731,916.81,1830.78,2073.00
732,916.97,1832.67,2119.50
733,917.13,1834.56,2037.50
734,917.28,1836.45,2043.50
735,917.44,1838.33,2063.00
736,917.60,1840.22,2058.00
737,917.76,1842.10,2027.00
738,917.92,1843.99,1999.50
739,918.08,1845.87,2015.00
740,918.24,1847.75,2020.00
741,918.40,1849.63,2001.00
742,918.55,1851.51,2004.50
743,918.71,1853.39,2009.00
744,918.87,1855.27,1990.00
745,919.03,1857.15,1959.50
746,919.19,1859.03,2023.00
747,919.35,1860.90,1947.00
748,919.51,1862.78,1957.50
749,919.66,1864.65,1954.50
750,919.82,1866.53,1957.50
751,919.98,1868.40,1953.50
752,920.14,1870.27,1926.00
753,920.30,1872.14,1924.00
754,920.46,1874.01,1909.50
755,920.61,1875.88,1938.50
756,920.77,1877.75,1950.00
757,920.93,1879.62,1877.50
758,921.09,1881.49,1897.00
759,921.25,1883.35,1907.50
760,921.41,1885.22,1892.50
761,921.57,1887.08,1901.00
762,921.72,1888.95,1852.00
763,921.88,1890.81,1857.00
764,922.04,1892.67,1867.00
765,922.20,1894.53,1837.50
766,922.36,1896.39,1870.50
767,922.51,1898.25,1855.50
768,922.67,1900.11,1832.00
769,922.83,1901.97,1831.50
770,922.99,1903.83,1806.50
771,923.15,1905.68,1815.50
772,923.31,1907.54,1849.50
773,923.46,1909.39,1842.50
774,923.62,1911.25,1823.00
775,923.78,1913.10,1803.00
776,923.94,1914.95,1810.00
777,924.10,1916.80,1788.00
778,924.25,1918.65,1812.50
779,924.41,1920.50,1814.50
780,924.57,1922.35,1791.00
781,924.73,1924.20,1786.50
782,924.89,1926.05,1776.00
783,925.04,1927.89,1810.00
784,925.20,1929.74,1778.50
785,925.36,1931.59,1742.50
786,925.52,1933.43,1746.00
787,925.68,1935.27,1745.00
788,925.83,1937.11,1742.00
789,925.99,1938.96,1729.50
790,926.15,1940.80,1724.50
791,926.31,1942.64,1734.50
792,926.47,1944.48,1698.50
793,926.62,1946.31,1715.50
794,926.78,1948.15,1712.50
795,926.94,1949.99,1702.00
796,927.10,1951.82,1706.50
797,927.25,1953.66,1743.00
798,927.41,1955.49,1712.50
799,927.57,1957.33,1651.50
800,927.73,1959.16,1678.50
801,927.88,1960.99,1636.50
802,928.04,1962.82,1623.50
803,928.20,1964.65,1674.50
804,928.36,1966.48,1654.50
805,928.52,1968.31,1629.50
806,928.67,1970.14,1617.00
807,928.83,1971.96,1643.00
808,928.99,1973.79,1616.00
809,929.15,1975.61,1627.00
810,929.30,1977.44,1602.00
