ENLIGHTEN Version,4.1.6
Measurement ID,20241210-124759-813875-WP-02071
Serial Number,WP-02071
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,enlighten-acetonitrile_ctrl_20241210-124759-813875-WP-02071
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,
ROI Pixel Start,10
ROI Pixel End,2047
ROI Vertical Pixel Start,0
ROI Vertical Pixel End,63
CCD C4,1.0143461591505254e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,100.0
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Prefix,enlighten
Suffix,
Preset,
Session Count,7244
Plugin Name,
Integration Time,1000
Timestamp,2024-12-10 12:47:59.813875
Note,
Temperature,10.044919776654524
CCD C0,799.8416748046875
CCD C1,0.15680807828903198
CCD C2,1.0990047485393006e-05
CCD C3,-9.785007470952678e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.041
Laser Enable,True
Laser Power %,35.88870037949164
Laser Temperature,-95.6635622537485
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
48,807.39,352.64,993.50
49,807.55,355.06,1217.50
50,807.71,357.48,1483.50
51,807.87,359.90,1894.50
52,808.02,362.32,2418.50
53,808.18,364.74,3089.00
54,808.34,367.15,4175.50
55,808.50,369.57,5243.50
56,808.66,371.99,6907.50
57,808.81,374.40,8777.50
58,808.97,376.82,10352.50
59,809.13,379.23,11316.00
60,809.29,381.64,11176.50
61,809.45,384.05,9809.50
62,809.60,386.47,7732.50
63,809.76,388.88,5939.00
64,809.92,391.29,4428.00
65,810.08,393.70,3176.50
66,810.24,396.11,2502.00
67,810.39,398.51,1922.00
68,810.55,400.92,1611.00
69,810.71,403.33,1291.50
70,810.87,405.74,1023.50
71,811.03,408.14,970.00
72,811.19,410.55,777.50
73,811.34,412.95,538.50
74,811.50,415.36,573.50
75,811.66,417.76,452.50
76,811.82,420.16,391.00
77,811.98,422.56,362.50
78,812.13,424.96,399.50
79,812.29,427.36,336.50
80,812.45,429.76,163.00
81,812.61,432.16,200.50
82,812.77,434.56,166.00
83,812.93,436.96,280.50
84,813.09,439.36,63.00
85,813.24,441.75,145.00
86,813.40,444.15,105.00
87,813.56,446.54,115.50
88,813.72,448.94,-20.50
89,813.88,451.33,38.50
90,814.04,453.72,-47.00
91,814.19,456.12,-3.00
92,814.35,458.51,-48.50
93,814.51,460.90,21.50
94,814.67,463.29,-59.00
